Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,sepal_area,petal_length,Color,sepal_category
1,5.1,3.5,,0.2,Iris-setosa,17.849999999999998,3.8074829931972793,red,large
2,4.9,3.0,,0.2,Iris-setosa,14.700000000000001,3.8074829931972793,red,small
3,4.7,3.2,,0.2,Iris-setosa,15.040000000000001,3.8074829931972793,red,large
4,4.6,3.1,1.5,0.2,Iris-setosa,14.26,1.5,red,small
5,5.0,3.6,1.4,0.2,Iris-setosa,18.0,1.4,red,large
6,5.4,3.9,1.7,0.4,Iris-setosa,21.060000000000002,1.7,red,large
7,4.6,3.4,1.4,0.3,Iris-setosa,15.639999999999999,1.4,red,large
8,5.0,3.4,1.5,0.2,Iris-setosa,17.0,1.5,red,large
9,4.4,2.9,1.4,0.2,Iris-setosa,12.76,1.4,red,small
10,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,1.5,red,large
11,5.4,3.7,1.5,0.2,Iris-setosa,19.980000000000004,1.5,red,large
12,4.8,3.4,1.6,0.2,Iris-setosa,16.32,1.6,red,large
13,4.8,3.0,1.4,0.1,Iris-setosa,14.399999999999999,1.4,red,small
14,4.3,3.0,1.1,0.1,Iris-setosa,12.899999999999999,1.1,red,small
15,5.8,4.0,1.2,0.2,Iris-setosa,23.2,1.2,red,large
16,5.7,4.4,1.5,0.4,Iris-setosa,25.080000000000002,1.5,red,large
17,5.4,3.9,1.3,0.4,Iris-setosa,21.060000000000002,1.3,red,large
18,5.1,3.5,1.4,0.3,Iris-setosa,17.849999999999998,1.4,red,large
19,5.7,3.8,1.7,0.3,Iris-setosa,21.66,1.7,red,large
20,5.1,3.8,1.5,0.3,Iris-setosa,19.38,1.5,red,large
21,5.4,3.4,1.7,0.2,Iris-setosa,18.36,1.7,red,large
22,5.1,3.7,1.5,0.4,Iris-setosa,18.87,1.5,red,large
23,4.6,3.6,1.0,0.2,Iris-setosa,16.56,1.0,red,large
24,5.1,3.3,1.7,0.5,Iris-setosa,16.83,1.7,red,large
25,4.8,3.4,1.9,0.2,Iris-setosa,16.32,1.9,red,large
26,5.0,3.0,1.6,0.2,Iris-setosa,15.0,1.6,red,large
27,5.0,3.4,1.6,0.4,Iris-setosa,17.0,1.6,red,large
28,5.2,3.5,1.5,0.2,Iris-setosa,18.2,1.5,red,large
29,5.2,3.4,1.4,0.2,Iris-setosa,17.68,1.4,red,large
30,4.7,3.2,1.6,0.2,Iris-setosa,15.040000000000001,1.6,red,large
31,4.8,3.1,1.6,0.2,Iris-setosa,14.879999999999999,1.6,red,small
32,5.4,3.4,1.5,0.4,Iris-setosa,18.36,1.5,red,large
33,5.2,4.1,1.5,0.1,Iris-setosa,21.32,1.5,red,large
34,5.5,4.2,1.4,0.2,Iris-setosa,23.1,1.4,red,large
35,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,1.5,red,large
36,5.0,3.2,1.2,0.2,Iris-setosa,16.0,1.2,red,large
37,5.5,3.5,1.3,0.2,Iris-setosa,19.25,1.3,red,large
38,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,1.5,red,large
39,4.4,3.0,1.3,0.2,Iris-setosa,13.200000000000001,1.3,red,small
40,5.1,3.4,1.5,0.2,Iris-setosa,17.34,1.5,red,large
41,5.0,3.5,1.3,0.3,Iris-setosa,17.5,1.3,red,large
42,4.5,2.3,1.3,0.3,Iris-setosa,10.35,1.3,red,small
43,4.4,3.2,1.3,0.2,Iris-setosa,14.080000000000002,1.3,red,small
44,5.0,3.5,1.6,0.6,Iris-setosa,17.5,1.6,red,large
45,5.1,3.8,1.9,0.4,Iris-setosa,19.38,1.9,red,large
46,4.8,3.0,1.4,0.3,Iris-setosa,14.399999999999999,1.4,red,small
47,5.1,3.8,1.6,0.2,Iris-setosa,19.38,1.6,red,large
48,4.6,3.2,1.4,0.2,Iris-setosa,14.719999999999999,1.4,red,small
49,5.3,3.7,1.5,0.2,Iris-setosa,19.61,1.5,red,large
50,5.0,3.3,1.4,0.2,Iris-setosa,16.5,1.4,red,large
51,7.0,3.2,4.7,1.4,Iris-versicolor,22.400000000000002,4.7,blue,large
52,6.4,3.2,4.5,1.5,Iris-versicolor,20.480000000000004,4.5,blue,large
53,6.9,3.1,4.9,1.5,Iris-versicolor,21.39,4.9,blue,large
54,5.5,2.3,4.0,1.3,Iris-versicolor,12.649999999999999,4.0,blue,small
55,6.5,2.8,4.6,1.5,Iris-versicolor,18.2,4.6,blue,large
56,5.7,2.8,4.5,1.3,Iris-versicolor,15.959999999999999,4.5,blue,large
57,6.3,3.3,4.7,1.6,Iris-versicolor,20.79,4.7,blue,large
58,4.9,2.4,3.3,1.0,Iris-versicolor,11.76,3.3,blue,small
59,6.6,2.9,4.6,1.3,Iris-versicolor,19.139999999999997,4.6,blue,large
60,5.2,2.7,3.9,1.4,Iris-versicolor,14.040000000000001,3.9,blue,small
61,5.0,2.0,3.5,1.0,Iris-versicolor,10.0,3.5,blue,small
62,5.9,3.0,4.2,1.5,Iris-versicolor,17.700000000000003,4.2,blue,large
63,6.0,2.2,4.0,1.0,Iris-versicolor,13.200000000000001,4.0,blue,small
64,6.1,2.9,4.7,1.4,Iris-versicolor,17.689999999999998,4.7,blue,large
65,5.6,2.9,3.6,1.3,Iris-versicolor,16.24,3.6,blue,large
66,6.7,3.1,4.4,1.4,Iris-versicolor,20.77,4.4,blue,large
67,5.6,3.0,4.5,1.5,Iris-versicolor,16.799999999999997,4.5,blue,large
68,5.8,2.7,4.1,1.0,Iris-versicolor,15.66,4.1,blue,large
69,6.2,2.2,4.5,1.5,Iris-versicolor,13.640000000000002,4.5,blue,small
70,5.6,2.5,3.9,1.1,Iris-versicolor,14.0,3.9,blue,small
71,5.9,3.2,4.8,1.8,Iris-versicolor,18.880000000000003,4.8,blue,large
